"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS"
"2833","4","Preñ2","532",12.83,24.5,24.4,-0.19,"13565"
"2871","4","Matar","551",13.23,25.4,24,-0.47,"13876"
"2942","4","Insem","398",19.52,38.1,35.6,-0.53,"7950"
"2950","4","Preñ","408",17.4,35,34,-0.29,"8718"
"2995","4","Preñ2","549",13.28,26.8,26,-0.23,"12869"
"3023","4","Preñ2","410",20.01,37.9,28.9,-3.19,"7933"
"3047","4","Preñ","537",16,33.1,31.7,0.01,"14132"
"3117","4","Insem","394",19.71,38.3,36.6,-0.43,"7601"
"3134","4","Preñ","405",16.68,34.2,32.3,-0.1,"7548"
"3143","4","Preñ2","412",17.85,36.5,35,-0.23,"7854"
"3144","4","Preñ","471",12.61,24.2,23.2,-0.03,"8602"
"3163","4","Preñ","401",17.5,34.3,34.3,-0.24,"7311"
"3169","4","Preñ","439",16.37,33.3,32.3,-0.2,"9256"
"3367","6","Alta","217",14.1,31.6,33,-0.34,"736"
"3374","6","Alta","240",18.1,35.3,34.8,-0.43,"1522"
"3392","6","Alta","210",14.24,27.9,26.6,0.47,"375"
"3394","6","Alta","232",18.71,37.6,36.6,0.02,"1166"
"3396","6","Alta","212",13.84,28,27.3,0.27,"521"
"3402","6","Alta","233",14.04,28.1,26.9,0.09,"605"
"3403","6","Alta","231",21.08,40.5,40.1,-0.09,"1417"
"3404","6","Alta","224",16.65,32,30.5,0.05,"727"
"3405","6","Alta","226",16.78,30.2,29.4,-0.21,"881"
"3411","6","Alta","207",16.46,31.7,30.5,0.13,"435"
"3412","6","Alta","204",18.7,38.3,38.1,0.53,"502"
"3413","6","Alta","199",13.63,26.6,27.1,0.56,"115"
"3343","8","Alta","243",18.86,39.5,39.2,-0.29,"1749"
"3355","8","Insem","283",19.82,39.8,39,-0.08,"2533"
"3365","8","Insem","277",19.57,38.9,37.7,-0.16,"2011"
"3370","8","Alta","243",16.35,33.3,33.2,-0.18,"1442"
"3377","8","Vacia","270",16.37,32.9,31.7,-0.06,"2128"
"3381","8","Vacia","265",16.7,33.6,33.3,1.54,"2053"
"3386","8","Insem","272",17.71,34.7,33.2,0.61,"1965"
"3387","8","Vacia","254",16.93,33.5,32,-0.77,"1870"
"3391","8","Vacia","255",15.86,32.3,32.4,-0.25,"1697"
"3395","8","Vacia","254",14.55,32.8,31.5,0.2,"1515"
"3398","8","Alta","251",17.16,33.4,34.3,-0.42,"1768"
"3399","8","Vacia","260",17.34,35.6,34.3,-0.01,"2233"
"3400","8","Alta","248",12.09,27.1,27.3,-0.11,"1405"
"3401","8","Alta","242",15.14,30.5,31.3,-0.64,"1330"
"2694","9","Alta","206",8,21,23.3,-0.61,"155"
"3104","9","Alta","250",13.5,37.5,40.6,1.23,"1202"
"3222","9","Alta","185",10.6,27.6,30.1,0.08,"35"
"3228","9","Alta","198",16,41,43.1,0.72,"115"
"3265","9","Alta","205",16.6,36.1,36.3,-0.03,"227"
"3345","9","Vacia","326",4,12,19.1,-2.12,"3056"
"3385","9","Alta","191",9.5,24.2,24.4,0,"61"
"3414","9","Alta","184",9,22,24,0,"22"
"3415","9","Alta","191",6.5,15,14.2,0,"35"
"3171","10","Alta","248",17.7,42.7,44.6,-0.31,"2496"
"3172","10","Preñ","387",17,37,36.6,0.17,"7400"
"3361","10","Preñ","323",13,28.5,32.6,-0.41,"4288"
"3366","10","Preñ","338",12,31,36.3,0.26,"4368"
"3390","10","Alta","226",14.3,36.3,39.4,1.65,"1185"
"2811","11","Vacia","258",13.44,36.5,39.7,-2.36,"3068"
"2867","11","Preñ","528",14.53,31,30.3,-0.15,"13400"
"2972","11","Insem","325",19.07,40.5,41.5,-0.33,"5916"
"3020","11","Insem","289",21.42,42.8,40.4,-0.24,"4032"
"3043","11","Vacia","314",23.21,45.8,43.9,0.11,"5055"
"3066","11","Alta","236",22.44,43.7,42.6,0.28,"1606"
"3076","11","Preñ2","577",12.09,24.4,18,-1.03,"12103"
"3145","11","Preñ","312",17.39,35.7,34.7,0.18,"4017"
"3157","11","Preñ","370",20.09,41,39.5,-0.2,"7412"
"3161","11","Insem","405",13.36,27.9,27.7,-0.4,"6727"
"3321","11","Insem","288",19.96,41.1,41.1,-0.04,"3397"
"3325","11","Vacia","261",16.55,33.7,32.8,0.1,"2152"
"3337","11","Preñ","434",14.05,26.9,24.7,-0.14,"7070"
"3349","11","Insem","289",15.89,32.5,32.5,-0.05,"2868"
"3368","11","Insem","329",20.51,40,40.9,-0.22,"4212"
"3371","11","Preñ","317",18.13,37,35.9,0.15,"3641"
"2678","12","Vacia","262",19.94,41.9,40.7,0.12,"2624"
"2748","12","Preñ","417",18.31,37.6,33.3,-0.6,"9717"
"2788","12","Insem","323",20.12,39.6,37.8,-0.58,"5511"
"2905","12","Vacia","257",16.16,34.6,35.3,-0.15,"1418"
"2909","12","Insem","337",21.79,44.7,44.4,0.16,"6310"
"2933","12","Preñ","357",18.91,38.4,39,-0.35,"6525"
"2936","12","Matar","279",10.16,27.1,30.9,-0.54,"3128"
"2948","12","Insem","296",21.67,43.3,42.6,0,"4345"
"2979","12","Insem","412",14.39,33.8,38.4,0.05,"10343"
"2997","12","Alta","221",20.14,41.8,40.7,0.16,"889"
"3027","12","Insem","367",16.27,35.6,37.2,-0.27,"7031"
"3035","12","Insem","274",18.88,36,35.4,-0.16,"3159"
"3064","12","Alta","216",23.86,49.4,49.6,0.56,"960"
"3148","12","Preñ","321",16.17,36.6,38.4,0.35,"5128"
"3155","12","Preñ","468",14.57,31.9,31.7,-0.19,"10361"
"3328","12","Preñ","414",15.18,31.6,30.8,-0.15,"6561"
"3378","12","Vacia","266",18.13,36.1,35.1,-0.03,"2151"
"3382","12","Vacia","262",16.7,32.9,32.8,0.03,"2091"
"2713","13","Alta","219",23.55,47.2,45.6,0.61,"922"
"2761","13","Alta","208",24.26,46.5,43.6,-0.01,"303"
"2813","13","Alta","218",24.45,44,43.3,-0.03,"905"
"2962","13","Alta","212",24.59,49.9,47.4,0.44,"904"
"3097","13","Alta","195",26.09,48.9,46.4,2.35,"119"
"3114","13","Alta","201",19.89,38.4,36.3,0.55,"160"
"3126","13","Alta","216",22.3,44.4,41.3,0.81,"817"
"3142","13","Alta","194",24.7,48.4,47.5,-0.2,"162"
"3230","13","Alta","208",23.14,44.3,42.2,0.55,"398"
"3241","13","Alta","209",14.6,28.4,29.5,0,"197"
"3248","13","Alta","205",26.38,49,46.2,0.52,"271"
"3258","13","Alta","219",24.6,49.2,47,0.15,"985"
"3263","13","Alta","209",20.37,42.1,41.3,0.26,"274"
"3264","13","Alta","209",17.4,34.1,34.4,-0.01,"249"
"2686","14","Insem","278",22.81,42.4,41.5,-0.09,"3708"
"2691","14","Insem","351",25.61,49.8,48.3,0.4,"7117"
"2826","14","Insem","295",19.1,38.7,37.3,-0.27,"3805"
"2924","14","Preñ","374",15.12,29.7,29.3,-0.21,"5660"
"3018","14","Preñ","321",21.84,44.5,41.9,0.29,"5296"
"3028","14","Preñ","390",15.79,31.6,30.5,0.55,"7107"
"3073","14","Insem","366",21.8,42.2,39.4,0.38,"6665"
"3086","14","Insem","293",20.44,39.6,39.5,-0.13,"3915"
"3124","14","Preñ","355",17.81,37,37.2,-0.12,"6480"
"3154","14","Preñ","329",18.29,36.5,36.3,-0.28,"5236"
"3165","14","Vacia","326",25.78,50.5,48,0.69,"5923"
"3166","14","Preñ","353",20.02,38.3,36.9,-0.02,"6129"
"3168","14","Preñ","362",18.68,36.8,35.2,0.31,"5513"
"3170","14","Insem","317",21.14,39.6,39.1,0.65,"4619"
"3177","14","Insem","279",23.6,44.2,41.5,0.06,"3403"
"3189","14","Preñ","310",23.4,45.7,44.1,0.02,"5173"
"3193","14","Insem","301",17.02,33.7,35.1,-0.57,"4224"
"3199","14","Insem","353",16.45,30.1,28.1,-0.39,"5796"
"3202","14","Insem","291",19.65,37.8,36.3,-0.32,"3573"
"3205","14","Preñ","346",20.27,40,37.7,-0.31,"6080"
"3209","14","Preñ","329",21.61,42.2,38.6,-0.23,"5560"
"3211","14","Insem","330",17.74,34.5,33.6,0.42,"4277"
"3215","14","Insem","303",24.86,46.3,43.5,-0.27,"4729"
"3236","14","Insem","276",19.97,37.4,37.8,-0.31,"3058"
"2894","15","Alta","223",27.08,55,50.8,-0.07,"1112"
"2956","15","Alta","226",21.41,44.8,44.1,-0.1,"1428"
"3081","15","Vacia","259",22.86,44.2,40.5,-0.67,"3123"
"3090","15","Insem","269",23.83,47.6,40.9,-0.06,"3724"
"3096","15","Vacia","273",20.33,40.6,40.1,-0.3,"3315"
"3125","15","Alta","227",22.66,45.7,43.3,-0.28,"1049"
"3192","15","Insem","274",17.74,38.1,36.1,0.1,"3026"
"3200","15","Vacia","272",21.33,46,42.5,-0.06,"2900"
"3212","15","Insem","273",26.27,49.6,45.2,0.24,"3354"
"3214","15","Vacia","261",22.76,44.6,41.4,-0.24,"2870"
"3218","15","Vacia","273",23.98,48.2,47.6,0.08,"3424"
"3221","15","Insem","274",23.38,47.3,43.6,-0.08,"3466"
"3242","15","Vacia","267",21.51,41.1,38.5,0.23,"2773"
"3247","15","Alta","222",23.8,49.8,47.9,-1.2,"1134"
"3250","15","Insem","272",21.97,43.9,42.3,0.09,"3254"
"2805","16","Vacia","256",20.1,41.2,38,-0.56,"2595"
"2969","16","Alta","233",26.96,55.5,52.1,-0.01,"2019"
"3033","16","Vacia","254",23.35,47.7,46.4,-0.23,"2565"
"3052","16","Alta","252",22.89,43.6,41.9,-0.59,"2439"
"3080","16","Vacia","258",21.98,45.9,46.8,-0.06,"2231"
"3094","16","Alta","249",24.48,50.8,49.9,0.58,"2520"
"3106","16","Alta","237",25.31,49.8,46,-0.57,"2135"
"3107","16","Vacia","257",15.18,33.5,31.6,-0.77,"5214"
"3152","16","Alta","244",27.08,52.4,49.1,-0.38,"2436"
"3184","16","Vacia","256",20.7,43.3,41.5,-0.01,"2924"
"3203","16","Alta","233",21.42,42.5,39.8,-0.1,"1470"
"3224","16","Alta","249",21.78,42.6,40.3,-0.53,"2400"
"3227","16","Vacia","255",18.64,38.1,38.5,0.08,"2373"
"3244","16","Alta","241",21.97,44.5,42.7,-0.46,"1941"
"3246","16","Insem","264",18.26,36.9,34.8,-0.56,"2574"
"3255","16","Alta","231",22.31,42.7,43.2,-0.11,"1526"
"3259","16","Alta","249",19.28,38.5,36.8,0.58,"2122"
"3261","16","Alta","240",20.81,42.2,41.1,-0.31,"2117"
"3262","16","Alta","237",21.91,44.4,40.5,-1.43,"2001"
"2770","17","Insem","277",18.6,40.8,41.5,0.57,"1274"
"2843","17","Matar","348",18.22,40.1,42.3,-0.25,"6477"
"2886","17","Vacia","259",10.83,30.4,32.2,0.04,"2329"
"2891","17","Alta","216",18.03,38.1,44.1,0.43,"646"
"2927","17","Vacia","265",14.83,33.7,37.5,-0.14,"2282"
"3041","17","Insem","310",19.6,41.6,45.7,-0.19,"5188"
"3111","17","Alta","239",22.4,53.8,47.5,-0.22,"1878"
"3120","17","Preñ","377",15.6,36.5,37.3,0.35,"6188"
"3280","17","Preñ","441",13.89,34,34.5,-0.19,"8656"
"3323","17","Preñ","417",11.35,25.6,28.8,-0.44,"6730"
"3393","17","Alta","217",13.8,33,34.7,1.07,"410"
"2991","18","Preñ2","528",16.26,31.3,30,-0,"12929"
"3174","18","Preñ","518",14.43,27.2,25.1,-0.49,"9718"
"3207","18","Preñ2","611",7.22,14.8,15.5,-0.52,"12928"
"3231","18","Preñ2","468",16.4,32.4,31.2,-0.28,"7545"
"3276","18","Preñ","437",19.61,38.3,34.9,0.42,"7152"
"3286","18","Preñ2","446",18.05,36.7,34.9,0.21,"7765"
"3288","18","Preñ2","448",16.35,32.9,32.8,0.09,"7626"
"3289","18","Preñ2","460",14.44,30.2,30.7,0.24,"7819"
"3290","18","Preñ","491",15.66,32.8,31.1,0.12,"8707"
"3292","18","Abort","436",18.89,38.6,37.7,-0.06,"7560"
"3295","18","Preñ2","469",15.1,30.3,28.9,-0.14,"7167"
"3297","18","Preñ2","473",10.82,23,21.6,0.29,"7447"
"3299","18","Preñ2","443",15.82,32.7,32.2,0.54,"6853"
"3306","18","Preñ2","429",16.6,32.6,30.6,-0.3,"6758"
"3307","18","Preñ2","433",15.69,29.6,29.7,0.56,"6248"
"3311","18","Preñ","434",12.31,25,22.4,-0.65,"5986"
"3319","18","Preñ2","431",16.51,34.7,34.2,-0.18,"7159"
"3322","18","Preñ2","416",16.18,32.9,31.7,0.09,"6333"
"3332","18","Preñ","351",16.6,31.3,29.4,0.01,"3429"
"3341","18","Preñ","376",18.17,36.2,34.9,-0.72,"5290"
"3351","18","Preñ","365",16.48,33.1,29.3,-0,"4321"
"3352","18","Preñ","361",15.29,31.6,31.3,-0.1,"4189"
"3298","19","Preñ","316",18.79,38.5,38.1,0.15,"3707"
"3308","19","Preñ","340",18.37,36.9,36.2,-0.05,"4711"
"3339","19","Insem","284",17,33.9,32.2,0.37,"2041"
"3340","19","Preñ","325",17.91,34.8,34.1,-0.43,"4223"
"3346","19","Insem","297",20.48,41,37.9,-0.24,"2929"
"3350","19","Preñ","337",15.27,29.9,28.7,-0.09,"3968"
"3353","19","Vacia","311",20.77,43.2,42,-0,"4545"
"3354","19","Preñ","322",21.13,42.9,40.7,0.06,"4923"
"3356","19","Preñ","348",15.6,30.8,30.5,0,"4462"
"3358","19","Preñ","333",14.89,28.9,26,0.51,"4082"
"3360","19","Preñ","328",18.5,37.1,35.4,-0.14,"4400"
"3363","19","Preñ","312",11.52,21.2,26.1,-0.75,"3262"
"3364","19","Insem","306",19.18,38,36.4,0.34,"3756"
"3369","19","Preñ","325",18.74,38.2,38,0.18,"4365"
"3372","19","Insem","302",17.39,35.1,33.8,-0.19,"3467"
"3376","19","Insem","298",17.57,34.9,35.8,-0.59,"3038"
"3379","19","Insem","292",18.04,38.7,38.6,0.18,"2488"
"3380","19","Insem","293",21.36,41,40.6,1.16,"3095"
"2869","25","Preñ","579",14.08,29.2,25.4,0.16,"11790"
"2912","25","Preñ","573",17.18,35.3,32.1,-0.17,"13085"
"2987","25","Preñ","577",13.19,27.5,22.6,-0.61,"11490"
"3058","25","Preñ2","655",13.64,24.8,24.3,-0.99,"16108"
"3197","25","Preñ2","694",12.26,25.6,24.2,0.16,"13371"
"3251","25","Insem","540",15.9,32.2,29.6,-0.01,"9201"
"3269","25","Insem","528",14.69,29.9,29.2,0.22,"9365"
"3272","25","Matar","538",15.39,30.6,30.1,0.25,"8593"
"3275","25","Preñ2","523",14.64,30.6,28.6,0.29,"9261"
"3279","25","Matar","530",15.48,31.6,27.5,0.91,"8874"
"3282","25","Preñ","517",11.97,23.9,23.9,-0.62,"8704"
"3283","25","Preñ","515",15.25,30.1,29.9,0.13,"9125"
"3314","25","Abort","381",17.22,33,30.4,-0.08,"4898"
"3317","25","Insem","374",15.97,33.4,32.2,0.03,"4564"
"3320","25","Preñ","409",19.42,40.1,40.5,0,"6544"
"3324","25","Preñ","404",15.42,32.7,32.4,0.58,"5512"
"3326","25","Preñ","365",14.3,30.8,25.8,-0.82,"4519"
"3334","25","Preñ2","404",11,23.4,22.9,0.06,"4232"
"3335","25","Preñ","386",19.78,38,35.2,0.29,"5490"
"3338","25","Preñ","391",17.65,34,35.3,-0.24,"5319"
