"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Casos_Mastitis","Ultimo_Tratamiento","Proxima_Revision","Ultimo_Evento_Vet","Toro","Cant_Insem","Fecha_Insem","Dias_Faltan","IEP","Servicios","Categoria","Estatus_Repro","Conteo_Mastitis","Año","Mes","Ubicacion"
"2833","4","Preñ2","532","12.83","24.5","24.4","-0.19","13565","2","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"2871","4","Matar","551","13.23","25.4","24","-0.47","13876","3","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,"0","7","Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"2942","4","Insem","398","19.52","38.1","35.6","-0.53","7950",NA,NA,NA,NA,"INDEPENDANT","3","1-09-25",NA,"474","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"2950","4","Preñ","408","17.4","35","34","-0.29","8718","1","ENRO3        ENROLA2+MULT5","26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"2995","4","Preñ2","549","13.28","26.8","26","-0.23","12869","3","NEO4+ENR6+ANT4",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3023","4","Preñ2","410","20.01","37.9","28.9","-3.19","7933","2","BIO4+ENRO6","30-01-26","VACUNA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3047","4","Preñ","537","16","33.1","31.7","0.01","14132",NA,NA,"21-02-26","PREPARTO",NA,NA,NA,"-1",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3117","4","Insem","394","19.71","38.3","36.6","-0.43","7601","1","BIO4+ENRO6",NA,NA,"INDEPENDANT","3","1-09-25",NA,"470","3","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3134","4","Preñ","405","16.68","34.2","32.3","-0.1","7548",NA,NA,"12-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3143","4","Preñ2","412","17.85","36.5","35","-0.23","7854","1","BI4+EN6+NE4+AN6","24-01-26","PREPARTO",NA,NA,NA,"-29",NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3144","4","Preñ","471","12.61","24.2","23.2","-0.03","8602",NA,NA,"22-02-26","PREPARTO",NA,NA,NA,"0",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3163","4","Preñ","401","17.5","34.3","34.3","-0.24","7311","3","NEO4+ENRO6","17-01-26","VACUNA",NA,NA,NA,"4",NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3169","4","Preñ","439","16.37","33.3","32.3","-0.2","9256",NA,NA,"22-02-26","PREPARTO",NA,NA,NA,"0",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3367","6","Alta","217","14.1","31.6","33","-0.34","736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3374","6","Alta","240","18.1","35.3","34.8","-0.43","1522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3392","6","Alta","210","14.24","27.9","26.6","0.47","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3394","6","Alta","232","18.71","37.6","36.6","0.02","1166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3396","6","Alta","212","13.84","28","27.3","0.27","521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3402","6","Alta","233","14.04","28.1","26.9","0.09","605","1","NEO3+ENRO7",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3403","6","Alta","231","21.08","40.5","40.1","-0.09","1417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3404","6","Alta","224","16.65","32","30.5","0.05","727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3405","6","Alta","226","16.78","30.2","29.4","-0.21","881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3411","6","Alta","207","16.46","31.7","30.5","0.13","435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3412","6","Alta","204","18.7","38.3","38.1","0.53","502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3413","6","Alta","199","13.63","26.6","27.1","0.56","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3343","8","Alta","243","18.86","39.5","39.2","-0.29","1749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3355","8","Insem","283","19.82","39.8","39","-0.08","2533",NA,NA,NA,NA,"WISEUP","1","15-09-25",NA,"373","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3365","8","Insem","277","19.57","38.9","37.7","-0.16","2011",NA,NA,NA,NA,"INDEPENDANT","1","22-09-25",NA,"374","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3370","8","Alta","243","16.35","33.3","33.2","-0.18","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3377","8","Vacia","270","16.37","32.9","31.7","-0.06","2128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3381","8","Vacia","265","16.7","33.6","33.3","1.54","2053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3386","8","Insem","272","17.71","34.7","33.2","0.61","1965",NA,NA,NA,NA,"INDEPENDANT","1","12-09-25",NA,"359","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3387","8","Vacia","254","16.93","33.5","32","-0.77","1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3391","8","Vacia","255","15.86","32.3","32.4","-0.25","1697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3395","8","Vacia","254","14.55","32.8","31.5","0.2","1515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3398","8","Alta","251","17.16","33.4","34.3","-0.42","1768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3399","8","Vacia","260","17.34","35.6","34.3","-0.01","2233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3400","8","Alta","248","12.09","27.1","27.3","-0.11","1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3401","8","Alta","242","15.14","30.5","31.3","-0.64","1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2694","9","Alta","206","8","21","23.3","-0.61","155","3","NEO4+ENRO5",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3104","9","Alta","250","13.5","37.5","40.6","1.23","1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3222","9","Alta","185","10.6","27.6","30.1","0.08","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3228","9","Alta","198","16","41","43.1","0.72","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3265","9","Alta","205","16.6","36.1","36.3","-0.03","227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3345","9","Vacia","326","4","12","19.1","-2.12","3056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3385","9","Alta","191","9.5","24.2","24.4","0","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3414","9","Alta","184","9","22","24","0","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3415","9","Alta","191","6.5","15","14.2","0","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3171","10","Alta","248","17.7","42.7","44.6","-0.31","2496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3172","10","Preñ","387","17","37","36.6","0.17","7400","2","NEO4+ENRO6","14-02-26","PREPARTO",NA,NA,NA,"-8",NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3361","10","Preñ","323","13","28.5","32.6","-0.41","4288",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3366","10","Preñ","338","12","31","36.3","0.26","4368",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3390","10","Alta","226","14.3","36.3","39.4","1.65","1185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2811","11","Vacia","258","13.44","36.5","39.7","-2.36","3068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2867","11","Preñ","528","14.53","31","30.3","-0.15","13400","1","NEO4+ENRO12","9-02-26","SECADO",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"2972","11","Insem","325","19.07","40.5","41.5","-0.33","5916","1","BIO4+ENRO6+ANT4",NA,NA,"WISEUP","2","12-09-25",NA,"412","2","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3020","11","Insem","289","21.42","42.8","40.4","-0.24","4032","1","NEOG4+ENRO5",NA,NA,"WISEUP","1","8-09-25",NA,"372","1","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"3043","11","Vacia","314","23.21","45.8","43.9","0.11","5055","6","MEL4+GENT7",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","6",2025,"Julio","7PULILI"
"3066","11","Alta","236","22.44","43.7","42.6","0.28","1606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3076","11","Preñ2","577","12.09","24.4","18","-1.03","12103",NA,NA,"25-01-26","VACUNA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3145","11","Preñ","312","17.39","35.7","34.7","0.18","4017",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3157","11","Preñ","370","20.09","41","39.5","-0.2","7412",NA,NA,"19-01-26","VACUNA",NA,NA,NA,"6",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3161","11","Insem","405","13.36","27.9","27.7","-0.4","6727",NA,NA,NA,NA,"WISEUP","3","1-09-25",NA,"481","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3321","11","Insem","288","19.96","41.1","41.1","-0.04","3397",NA,NA,NA,NA,"INDEPENDANT","1","8-09-25",NA,"371","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3325","11","Vacia","261","16.55","33.7","32.8","0.1","2152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3337","11","Preñ","434","14.05","26.9","24.7","-0.14","7070",NA,NA,"26-01-26","VACUNA",NA,NA,NA,"13",NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3349","11","Insem","289","15.89","32.5","32.5","-0.05","2868",NA,NA,NA,NA,"INDEPENDANT","2","12-09-25",NA,"376","2","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3368","11","Insem","329","20.51","40","40.9","-0.22","4212",NA,NA,NA,NA,NA,NA,NA,NA,"421","4","Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3371","11","Preñ","317","18.13","37","35.9","0.15","3641",NA,NA,"20-02-26","VACUNA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2678","12","Vacia","262","19.94","41.9","40.7","0.12","2624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2748","12","Preñ","417","18.31","37.6","33.3","-0.6","9717","4","BIO+EN4+ME2+GE5","4-02-26","PREPARTO",NA,NA,NA,"-18",NA,NA,"Vaca","Abierta/Vacia","4",2025,"Julio","7PULILI"
"2788","12","Insem","323","20.12","39.6","37.8","-0.58","5511","2","NEO+ENRO4+LINA5",NA,NA,"INDEPENDANT","2","12-09-25",NA,"410","2","Vaca","Inseminada/Preñada","2",2025,"Julio","7PULILI"
"2905","12","Vacia","257","16.16","34.6","35.3","-0.15","1418","4","MEL4+GENT6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","4",2025,"Julio","7PULILI"
"2909","12","Insem","337","21.79","44.7","44.4","0.16","6310",NA,NA,NA,NA,"INDEPENDANT","2","15-09-25",NA,"427","2","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"2933","12","Preñ","357","18.91","38.4","39","-0.35","6525",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2936","12","Matar","279","10.16","27.1","30.9","-0.54","3128","2","BIO4+ENR6    +ENRLA2+MELO2",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"2948","12","Insem","296","21.67","43.3","42.6","0","4345","1","NEO6+ENRO4",NA,NA,"INDEPENDANT","2","7-09-25",NA,"378","2","Vaca","Inseminada/Preñada","1",2025,"Julio","7PULILI"
"2979","12","Insem","412","14.39","33.8","38.4","0.05","10343",NA,NA,NA,NA,"INDEPENDANT","3","15-09-25",NA,"502","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"2997","12","Alta","221","20.14","41.8","40.7","0.16","889","1","MEL3+ENRO4+MUL3",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3027","12","Insem","367","16.27","35.6","37.2","-0.27","7031",NA,NA,NA,NA,"WISEUP","3","26-08-25",NA,"437","3","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3035","12","Insem","274","18.88","36","35.4","-0.16","3159","3","NEO4+ENRO6",NA,NA,"INDEPENDANT","1","22-09-25",NA,"371","1","Vaca","Inseminada/Preñada","3",2025,"Julio","7PULILI"
"3064","12","Alta","216","23.86","49.4","49.6","0.56","960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3148","12","Preñ","321","16.17","36.6","38.4","0.35","5128","4","NEO4+ENRO6","12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","4",2025,"Julio","7PULILI"
"3155","12","Preñ","468","14.57","31.9","31.7","-0.19","10361",NA,NA,"12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3328","12","Preñ","414","15.18","31.6","30.8","-0.15","6561",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3378","12","Vacia","266","18.13","36.1","35.1","-0.03","2151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3382","12","Vacia","262","16.7","32.9","32.8","0.03","2091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2713","13","Alta","219","23.55","47.2","45.6","0.61","922","7","BI+ENR4+ME3+GE5",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","7",2025,"Julio","7PULILI"
"2761","13","Alta","208","24.26","46.5","43.6","-0.01","303","5","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","5",2025,"Julio","7PULILI"
"2813","13","Alta","218","24.45","44","43.3","-0.03","905","4","BIO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","4",2025,"Julio","7PULILI"
"2962","13","Alta","212","24.59","49.9","47.4","0.44","904","1","NEO+ENRO4    +MEL3+GENT5",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3097","13","Alta","195","26.09","48.9","46.4","2.35","119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3114","13","Alta","201","19.89","38.4","36.3","0.55","160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3126","13","Alta","216","22.3","44.4","41.3","0.81","817","1","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3142","13","Alta","194","24.7","48.4","47.5","-0.2","162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3230","13","Alta","208","23.14","44.3","42.2","0.55","398","3","NEO4+ENRO6",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","3",2025,"Julio","7PULILI"
"3241","13","Alta","209","14.6","28.4","29.5","0","197","1","BIO4+ENRO7",NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","1",2025,"Julio","7PULILI"
"3248","13","Alta","205","26.38","49","46.2","0.52","271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3258","13","Alta","219","24.6","49.2","47","0.15","985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3263","13","Alta","209","20.37","42.1","41.3","0.26","274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3264","13","Alta","209","17.4","34.1","34.4","-0.01","249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"2686","14","Insem","278","22.81","42.4","41.5","-0.09","3708","2","BI+ENR4+ME4+GE6",NA,NA,"WISEUP","1","22-09-25",NA,"375","1","Vaca","Inseminada/Preñada","2",2025,"Julio","7PULILI"
"2691","14","Insem","351","25.61","49.8","48.3","0.4","7117","5","PI           EN6+ME4+GE7+AN4",NA,NA,"INDEPENDANT","3","1-09-25",NA,"427","3","Vaca","Inseminada/Preñada","5",2025,"Julio","7PULILI"
"2826","14","Insem","295","19.1","38.7","37.3","-0.27","3805","4","BIO4+ENRO6",NA,NA,"WISEUP","1","1-09-25",NA,"371","1","Vaca","Inseminada/Preñada","4",2025,"Julio","7PULILI"
"2924","14","Preñ","374","15.12","29.7","29.3","-0.21","5660","2","BIO+ENRO3","3-02-26","PREPARTO",NA,NA,NA,"-19",NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3018","14","Preñ","321","21.84","44.5","41.9","0.29","5296","2","BIO4+ANTI7","12-03-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","2",2025,"Julio","7PULILI"
"3028","14","Preñ","390","15.79","31.6","30.5","0.55","7107",NA,NA,"26-02-26","AVF BOVIS PREPA",NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3073","14","Insem","366","21.8","42.2","39.4","0.38","6665","5","ENR+NE4+GE6+ME3",NA,NA,"WISEUP","3","15-09-25",NA,"456","3","Vaca","Inseminada/Preñada","5",2025,"Julio","7PULILI"
"3086","14","Insem","293","20.44","39.6","39.5","-0.13","3915","2","BIO4+ENRO6",NA,NA,"WISEUP","1","8-09-25",NA,"376","1","Vaca","Inseminada/Preñada","2",2025,"Julio","7PULILI"
