"ID_Vaca","Edad","Lact_N","Lact_Dias","Leche_24h","Dias_Enferma","Fecha_Evento","Comentario_1","Comentario_2"
"2656","8.0","5","363","0.0","****","2-03-20","PI","NEOG4+PGENTA6"
"2656","8.0","5","363","0.0","-915","22-09-22","AD","NEO+ENRO4+MUL5"
"2656","8.0","5","363","0.0","-834","12-12-22","PI","NEO+ENRO+MUL4"
"2656","8.0","5","363","0.0","-621","13-07-23","AD","NEO4+ENRO6"
"2656","8.0","5","363","0.0","-579","24-08-23","AD","NEO+ENRO4    +BIOF3+GENT5"
"2656","8.0","5","363","0.0","-560","12-09-23","PD","NEO+ENRO4    +BIO2+LINALTEN4"
"2656","8.0","5","363","0.0","-471","10-12-23","AI","BI+ENR4+ME3+GE5"
"2656","8.0","5","363","0.0","-448","2-01-24","PD","BIOF4+ENRO6"
"2656","8.0","5","363","0.0","-363","27-03-24","PI","BIOF+ENRO4+ANT6"
"2656","8.0","5","363","0.0","116","19-07-25","PD","NEO4+ENRO6"
"2686","7.9","5","278","41.5","****","18-09-20","PD","NEO+ENR5+MULTI4"
"2686","7.9","5","278","41.5","-293","29-08-24","AI","BI+ENR4+ME4+GE6"
"2691","7.9","5","351","48.3","-705","2-05-23","AI","BIO+ENRO4+MULT5"
"2691","7.9","5","351","48.3","-604","11-08-23","AD","BIO+ENRO4    +MEL2+GENT5"
"2691","7.9","5","351","48.3","-583","1-09-23","AD","NEO+ENRO4    +MEL3+GENT5"
"2691","7.9","5","351","48.3","-174","14-10-24","AD","BIO4+ENRO6"
"2691","7.9","5","351","48.3","66","11-06-25","AD","PI           EN6+ME4+GE7+AN4"
"2694","7.8","6","206","23.3","****","13-04-21","AD","BIOFL4+ENRO6"
"2694","7.8","6","206","23.3","****","26-01-22","SUBCLINICA","CEFTILON3"
"2694","7.8","6","206","23.3","-203","7-02-25","PD","NEO4+ENRO5"
"2713","7.7","6","219","45.6","****","5-06-21","PI","BIOF4+GEN6+NEO2"
"2713","7.7","6","219","45.6","****","22-06-21","PD","PBU4+ENR5+ENL1"
"2713","7.7","6","219","45.6","****","26-07-21","PD","MEL4+CEM1+GENT6"
"2713","7.7","6","219","45.6","-995","25-11-22","PI","MELO+ENRO4+MUL5"
"2713","7.7","6","219","45.6","-728","19-08-23","AI","NEO4+ENRO6"
"2713","7.7","6","219","45.6","-699","17-09-23","PI","MEL4+GENT6"
"2713","7.7","6","219","45.6","-345","5-09-24","AI","BI+ENR4+ME3+GE5"
"2748","7.5","5","417","33.3","****","25-09-21","PD","BIOF4+MULTIJ6"
"2748","7.5","5","417","33.3","-792","30-11-22","AD","MELO+ENRO4+MUL4"
"2748","7.5","5","417","33.3","-531","18-08-23","PI","BIOF4+TOTALMAS3"
"2748","7.5","5","417","33.3","-175","8-08-24","AD","BIO+EN4+ME2+GE5"
"2761","7.2","5","208","43.6","-692","5-10-23","AI","NEO+ENR4+GEN5"
"2761","7.2","5","208","43.6","-600","5-01-24","AD","NE+ENR4+ME3+GE5"
"2761","7.2","5","208","43.6","-499","15-04-24","AD","NE+ENR4+GE5+ME3"
"2761","7.2","5","208","43.6","-477","7-05-24","PI","NEO4+ANTI5"
"2761","7.2","5","208","43.6","-184","24-02-25","AD","NEO4+ENRO6"
"2770","7.1","5","277","41.5","****","22-03-21","AD","BIOF3+MULTI6 +MELOX4+GENTA6"
"2770","7.1","5","277","41.5","****","14-06-21","PI","BIOFL4+MULTIJ6"
"2770","7.1","5","277","41.5","****","28-05-22","AI","NEO+ENRO4+MUL5"
"2770","7.1","5","277","41.5","****","12-06-22","AD","GENT+ENR4+MUL5"
"2770","7.1","5","277","41.5","****","1-08-22","PI","NEO+ENRO4+MULT5"
"2770","7.1","5","277","41.5","-956","6-11-22","PI","BIOF4+ENRO5"
"2770","7.1","5","277","41.5","-760","21-05-23","PI","BIO+MUL4     ENRO5+ENRLA1"
"2770","7.1","5","277","41.5","-741","9-06-23","PI","MELO+GENT4+ +ENR6+MU5+ENLA1"
"2770","7.1","5","277","41.5","-696","24-07-23","PI","NEO4+        TOTALMAS1+ENRO6"
"2770","7.1","5","277","41.5","-665","24-08-23","PD","MEL4+GENT6"
"2770","7.1","5","277","41.5","-618","10-10-23","PD","BIOF4+ENRO6"
"2770","7.1","5","277","41.5","-575","22-11-23","PI","NEOG+ENR4+GENT5"
"2770","7.1","5","277","41.5","-524","12-01-24","PD","BIOF4+ENRO6"
"2770","7.1","5","277","41.5","-513","23-01-24","PI","MEL4+GENTA6"
"2770","7.1","5","277","41.5","-500","5-02-24","PI","NEOG4+ENRO6"
"2770","7.1","5","277","41.5","-449","27-03-24","PD","NEO+ENRO4+ANT5"
"2770","7.1","5","277","41.5","-349","5-07-24","AI","BIO4+ENRO6"
"2770","7.1","5","277","41.5","-222","9-11-24","PD","BIO4+ENRO6"
"2770","7.1","5","277","41.5","-207","24-11-24","PD","MEL4+GENT6"
"2770","7.1","5","277","41.5","-198","3-12-24","PI","NEO4+ENRO6"
"2770","7.1","5","277","41.5","-173","28-12-24","PI","MELO4+GENTA6"
"2770","7.1","5","277","41.5","32","21-07-25","AI","BIO4+ENRO6"
"2770","7.1","5","277","41.5","46","4-08-25","PI","NEO4+ANTIMAS5"
"2788","7.0","5","323","37.8","-886","30-11-22","PD","NEO3+ENRO4+MUL4"
"2788","7.0","5","323","37.8","-606","6-09-23","PI","NEO+ENRO4+LINA5"
"2805","6.9","5","256","38.0","****","4-12-21","PI","BIOF+ENRO2"
"2805","6.9","5","256","38.0","****","4-12-21","PI","BIO3+ENRO7"
"2805","6.9","5","256","38.0","****","20-09-22","PD","NEO3+MULT5"
"2805","6.9","5","256","38.0","-433","3-05-24","PD","BIO+ENR4+ME+GE5"
"2805","6.9","5","256","38.0","-343","1-08-24","AD","NE+EN4+GE5+ME4"
"2805","6.9","5","256","38.0","-240","12-11-24","AD","BIO4+ENRO6"
"2805","6.9","5","256","38.0","-144","16-02-25","AD","NEO4+ENRO6"
"2805","6.9","5","256","38.0","-93","8-04-25","AI","NEO4+ENR7+ANTI5"
"2813","6.8","5","218","43.3","****","26-07-21","AD","BIOF4+ENRO6"
"2813","6.8","5","218","43.3","****","25-03-22","AI","BIO+ENR4+MULT5"
"2813","6.8","5","218","43.3","-546","18-02-24","AD","ENR+NE4+ME+GE6"
"2813","6.8","5","218","43.3","-222","7-01-25","AD","BIO4+ENRO6"
"2826","6.8","5","295","37.3","-941","3-11-22","PD","NEO+ENR4+MUL3"
"2826","6.8","5","295","37.3","-274","31-08-24","PD","BIO4+ENRO6"
"2826","6.8","5","295","37.3","-222","22-10-24","PI","BIO3+ENRO6"
"2826","6.8","5","295","37.3","63","3-08-25","AI","BIO4+ENRO6"
"2827","6.8","4","312","0.0","-604","19-09-23","AD","NEO+ENRO+LINA4"
"2833","6.7","4","532","24.4","-453","12-07-23","AD","NEO+ENRO4    +MEL2+GENT5"
"2833","6.7","4","532","24.4","29","5-11-24","PD","NEO4+ENRO6"
"2843","6.6","5","348","42.3","****","4-04-22","AI","GENT8+MUL4+BI03"
"2843","6.6","5","348","42.3","141","28-08-25","AI","NEO4+ERNO6"
"2867","6.3","3","528","30.3","****","22-12-21","PD","NEO4+ENRO12"
"2869","6.2","3","579","25.4","-479","30-04-23","PD","BIO+ENRO4+MULT5"
"2871","6.2","3","551","24.0","-407","8-08-23","AI","NEO4+ENRO6"
"2871","6.2","3","551","24.0","-350","4-10-23","AI","LINALTEN5"
"2871","6.2","3","551","24.0","157","22-02-25","PD","NEO4+ENRO6"
"2886","6.1","4","259","32.2","-626","20-10-23","PD","BIOF+ENRO3   +ENRLA2"
"2886","6.1","4","259","32.2","-65","3-05-25","PD","MEL4+ENRO6"
"2886","6.1","4","259","32.2","29","5-08-25","PI","NEO4+ERNO5"
"2891","6.0","4","216","44.1","-781","30-06-23","AI","BIO4+ENRO6"
"2891","6.0","4","216","44.1","-568","29-01-24","AI","BIO+ENRO3"
"2891","6.0","4","216","44.1","-416","29-06-24","AI","AD           NE4+EN9+GE+ANT5"
"2891","6.0","4","216","44.1","-382","2-08-24","AI","NEO+ENR+ME4+GE5"
"2891","6.0","4","216","44.1","4","23-08-25","AD","NEO4+ENRO7"
"2891","6.0","4","216","44.1","26","14-09-25","AI","BIO4+ENRO6"
"2894","6.0","4","223","50.8","-639","12-11-23","AD","BIOF3+ENRO6"
"2905","6.0","4","257","35.3","****","10-06-22","PI","BIO3+ENR4+MULT5"
"2905","6.0","4","257","35.3","-933","19-12-22","AI","NEO+ENRO4+   BIO1+GEN4+MUL5"
"2905","6.0","4","257","35.3","-668","10-09-23","PD","NEO4+ENRO6"
"2905","6.0","4","257","35.3","-158","1-02-25","AI","MEL4+GENT6"
"2913","5.9","3","386","0.0","-816","7-12-22","AD","NEO3+ENR4+MUL4"
"2913","5.9","3","386","0.0","-567","13-08-23","AD","MEL+GENT4    +NEO3+ENRO5"
"2913","5.9","3","386","0.0","-520","29-09-23","PD","NEO+ENRO4    +MEL3+GENT5"
"2913","5.9","3","386","0.0","-498","21-10-23","PI","BIOF+ENRO3   +ENRLA2+LINA5"
"2913","5.9","3","386","0.0","-224","21-07-24","AD","BIO+ENR4+NE+GE5"
"2913","5.9","3","386","0.0","67","8-05-25","PI","NEO4+ENRO7"
"2924","5.9","4","374","29.3","-461","9-12-23","PI","MEL3+GENTA6"
"2924","5.9","4","374","29.3","-247","10-07-24","AD","BIO+ENRO3"
"2927","5.9","4","265","37.5","****","11-05-22","AD","BIO+ENR5"
"2927","5.9","4","265","37.5","-771","22-05-23","PI","NEO+ENR4     +ENRLA1+MULT5"
"2927","5.9","4","265","37.5","-744","18-06-23","PD","MELOX+GENT4 +BIOF4+ENRO6"
"2927","5.9","4","265","37.5","-729","3-07-23","PD","BIO+ENR4+ENR OLA1+MEL2+GEN5"
"2927","5.9","4","265","37.5","-620","20-10-23","PD","NEOG+ENRO2"
"2927","5.9","4","265","37.5","-297","7-09-24","PD","BIO4+ENRO6"
"2927","5.9","4","265","37.5","-215","28-11-24","AD","NE+EN+BIO4+ANT5"
"2927","5.9","4","265","37.5","12","13-07-25","PD","NEO4+ENRO7+ANT4"
"2927","5.9","4","265","37.5","38","8-08-25","PD","NEO4+ANTIMAS6"
"2936","5.9","4","279","30.9","-749","30-05-23","PD","BIO+ENR4     +ENRLA1+MULT5"
"2936","5.9","4","279","30.9","-603","23-10-23","PD","BIO4+ENR6    +ENRLA2+MELO2"
"2948","5.8","4","296","42.6","-405","21-04-24","AI","NEO6+ENRO4"
"2950","5.8","4","408","34.0","-954","30-06-22","PD","ENRO3        ENROLA2+MULT5"
"2962","5.7","4","212","47.4","-735","19-08-23","PI","NEO+ENRO4    +MEL3+GENT5"
"2972","5.7","3","325","41.5","52","23-06-25","AD","BIO4+ENRO6+ANT4"
"2991","5.5","3","528","30.0","-657","24-12-22","PD","BIO+ENR4+    NE2+MUL5+ENRLA2"
"2991","5.5","3","528","30.0","92","11-01-25","AD","NE+EN4+GE+ME+A6"
"2995","5.4","3","549","26.0","-768","14-08-22","AI","NEO4+MULT5"
"2995","5.4","3","549","26.0","-722","29-09-22","AI","NEO+ENRO4+MUL5"
"2995","5.4","3","549","26.0","310","27-07-25","AI","NEO4+ENR6+ANT4"
"2997","5.4","4","221","40.7","-810","27-05-23","AD","MEL3+ENRO4+MUL3"
"3000","5.4","3","316","0.0","-446","20-02-24","AI","NEO4+ENRO6"
"3000","5.4","3","316","0.0","-339","6-06-24","PD","NEO4+ENRO6"
"3000","5.4","3","316","0.0","-137","25-12-24","PI","NEO4+ENRO6"
"3018","5.1","3","321","41.9","-333","7-06-24","AI","BI4+EN7+NE4+AN6"
"3018","5.1","3","321","41.9","-194","24-10-24","PI","BIO4+ANTI7"
"3020","5.1","3","289","40.4","-848","10-02-23","PD","NEOG4+ENRO5"
"3023","5.1","3","410","28.9","114","31-05-25","PD","NEO4+ENRO6"
"3023","5.1","3","410","28.9","207","1-09-25","PD","BIO4+ENRO6"
"3033","5.0","3","254","46.4","-204","20-12-24","PD","BIO4+ENRO6"
"3033","5.0","3","254","46.4","12","24-07-25","PD","AI           BIO4+ENRO7"
"3035","5.0","3","274","35.4","-374","13-06-24","PD","NEO4+ENRO7"
"3035","5.0","3","274","35.4","-219","15-11-24","AI","NEO4+ENR+ANT6"
"3035","5.0","3","274","35.4","-118","24-02-25","AI","NEO4+ENRO6"
"3041","5.0","3","310","45.7","-718","30-05-23","AI","NEO4+MULT5"
"3041","5.0","3","310","45.7","95","20-08-25","AI","NEO4+ENRO6"
"3043","5.0","3","314","43.9","-730","14-05-23","PI","ME+GEN+NEO4+ ENRLA1+ENR4+MU5"
"3043","5.0","3","314","43.9","-473","26-01-24","PI","BIO1+ANTIMAST6"
"3043","5.0","3","314","43.9","-355","23-05-24","PD","BIO+EN4+ME3+GE5"
"3043","5.0","3","314","43.9","-306","11-07-24","AI","ENR3+NE+GE+ANT6"
"3043","5.0","3","314","43.9","-177","17-11-24","PD","NEO4+ENRO6"
"3043","5.0","3","314","43.9","86","7-08-25","PD","MEL4+GENT7"
"3052","4.9","3","252","41.9","44","27-08-25","AD","BIO4+ENRO6"
"3058","4.9","2","655","24.3","-333","9-07-23","AD","BIO+ENR4+ENR LA2+MEL4+GENT6"
"3058","4.9","2","655","24.3","7","13-06-24","PI","NEO4+ENRO7"
"3065","4.9","2","436","0.0","-196","29-06-24","PI","NEO4+ENRO6"
"3065","4.9","2","436","0.0","-58","14-11-24","AD","NE4+ENR6+ANT5"
"3073","4.8","3","366","39.4","-734","19-03-23","AI+AD","NEOG4+ENRO5"
"3073","4.8","3","366","39.4","-668","24-05-23","PD","BIO+ENRO4+   ENLA1+MULT5"
"3073","4.8","3","366","39.4","-591","9-08-23","PD","MEL3+GENT6"
"3073","4.8","3","366","39.4","-565","4-09-23","PD","BIO4+ENRO6"
"3073","4.8","3","366","39.4","-360","27-03-24","AD","ENR+NE4+GE6+ME3"
"3080","4.8","3","258","46.8","-95","4-04-25","PD","BIO4+ANTIMASTI6"
"3080","4.8","3","258","46.8","13","21-07-25","AI","NEO+ENR+ME4+GE5"
"3086","4.7","3","293","39.5","-596","16-10-23","PI","NEOG4+ENRO6"
"3086","4.7","3","293","39.5","23","26-06-25","PI","BIO4+ENRO6"
"3087","4.7","2","301","0.0","-619","15-09-23","PI","NEO+ENRO4    +MEL2+LINALTEN4"
"3094","4.7","3","249","49.9","-591","4-12-23","PD","NEOG4+ENRO6"
"3094","4.7","3","249","49.9","-269","21-10-24","PI","NEO+ANTI4+ENR6"
"3094","4.7","3","249","49.9","-185","13-01-25","PI","MEL4+ENRO7"
"3096","4.7","3","273","40.1","-723","1-07-23","PD","MEL+GENT+ENR4"
"3096","4.7","3","273","40.1","-295","1-09-24","PD","NEO4+ENRO6"
"3110","4.6","2","323","0.0","-430","29-02-24","PI","BIOF4+ENRO6"
"3111","4.5","3","239","47.5","-674","22-09-23","PI","NEO+ENRO4                             +MEL1+GENT4"
"3111","4.5","3","239","47.5","53","18-09-25","PI","BIO5+ENRO5"
"3117","4.4","2","394","36.6","147","19-07-25","PD","BIO4+ENRO6"
"3120","4.3","2","377","37.3","-118","13-11-24","AI","BIO4+ENR6+ANTI5"
"3120","4.3","2","377","37.3","112","1-07-25","AI","BIO4+ENRO7+ANT6"
"3120","4.3","2","377","37.3","167","25-08-25","AI","MEL4+GENT6"
"3120","4.3","2","377","37.3","189","16-09-25","PD","NEO4+ENR6+ANT1"
"3123","4.3","2","304","0.0","8","31-05-25","AD","BIO4+ENRO6"
"3124","4.3","2","355","37.2","-320","17-05-24","PI","NEO4+ENRO6"
"3126","4.3","2","216","41.3","-134","7-04-25","PD","NEO4+ENRO6"
"3143","4.2","2","412","35.0","-249","31-05-24","PD","BI4+EN6+NE4+AN6"
"3148","4.2","2","321","38.4","-446","15-02-24","PD","N4+EN12+G+M4+B3"
"3148","4.2","2","321","38.4","-231","17-09-24","PI","NEO4+ENRO6"
"3148","4.2","2","321","38.4","-126","31-12-24","AD","NEO4+ENRO6"
"3148","4.2","2","321","38.4","126","9-09-25","PI","NEO4+ENRO6"
"3163","4.1","2","401","34.3","-232","28-06-24","PI","NEO4+ENRO6"
"3163","4.1","2","401","34.3","-183","16-08-24","AD","NEO+ENRO4+ANT6"
"3163","4.1","2","401","34.3","178","12-08-25","PD","NEO4+ENRO6"
"3170","4.0","2","317","39.1","96","14-08-25","PD","BIO4+ENR7+ANT5"
"3172","4.0","2","387","36.6","-349","17-03-24","PD","BIOF4+EN6+ENLA1"
"3172","4.0","2","387","36.6","17","18-03-25","AI","NEO4+ENRO6"
"3174","4.0","2","518","25.1","19","9-11-24","AD","BIO4+ENRO7"
"3177","4.0","2","279","41.5","-292","29-08-24","AI","NEO4+ENRO6"
"3184","3.9","2","256","41.5","-166","25-01-25","AD","NEO3+ENRO6"
"3200","3.8","2","272","42.5","47","10-08-25","PI","BIO4+ENRO6"
"3212","3.8","2","273","45.2","-270","26-09-24","PD","BIO4+ENRO6"
"3212","3.8","2","273","45.2","-246","20-10-24","PD","NEO4+ENRO8                            +ANTIMAST4"
"3214","3.8","2","261","41.4","34","8-08-25","PI","NEO4+ENRO6"
"3215","3.8","2","303","43.5","-122","22-01-25","PD","NEO4+ENRO7"
"3224","3.7","2","249","40.3","-340","11-08-24","PI","NEO4+ENRO6"
"3230","3.6","2","208","42.2","-337","24-09-24","AI","BIO4+ENRO6"
"3230","3.6","2","208","42.2","-267","3-12-24","AD","BIO4+ANTI6"
"3230","3.6","2","208","42.2","-125","24-04-25","PI","NEO4+ENRO6"
"3231","3.6","1","468","31.2","31","10-01-25","PI","NEO4+ENRO6"
"3231","3.6","1","468","31.2","67","15-02-25","PI","NEO4+ENRO6"
"3241","3.6","2","209","29.5","-119","29-04-25","PD","BIO4+ENRO7"
"3242","3.6","2","267","38.5","-180","31-12-24","AI","BIO4+ENRO6"
"3246","3.6","2","264","34.8","34","5-08-25","PI","NEO4+ERNO7+ANT4"
"3251","3.5","1","540","29.6","39","7-11-24","PI","BIO4+ENRO6"
"3252","3.5","1","414","0.0","-55","9-12-24","AD","NEO4+ENRO6"
"3252","3.5","1","414","0.0","-24","9-01-25","AD","NEO4+ANTIMAS7"
"3255","3.5","2","231","43.2","-369","31-07-24","PI","NEO4+ENRO5"
"3255","3.5","2","231","43.2","-84","12-05-25","PD","BIO4+ENRO6"
"3259","3.5","2","249","36.8","-130","9-03-25","AD","BIO4+ENRO6"
"3266","3.4","1","353","0.0","-140","15-11-24","AI","BIOF4+ENRO6"
"3266","3.4","1","353","0.0","-127","28-11-24","PD","NEO4+ANTI6"
"3266","3.4","1","353","0.0","-108","17-12-24","PI","NEO4+ENRO6"
"3266","3.4","1","353","0.0","-12","23-03-25","AD","NEO+ENR4+ANTIM5"
"3271","3.3","1","312","0.0","-151","15-12-24","AI","NEO4+ENRO6"
"3272","3.3","1","538","30.1","102","11-01-25","AD","BIO4+ENRO6"
"3275","3.3","1","523","28.6","2","18-10-24","PD","NEO4+ENRO6"
"3279","3.2","1","530","27.5","234","31-05-25","PD","BIO4+ENRO6"
"3283","3.2","1","515","29.9","166","8-04-25","PI","BIO4+ENRO6"
"3286","3.2","1","446","34.9","144","25-05-25","PD","NEO4+ENRO7"
"3289","3.2","1","460","30.7","5","23-12-24","PI","NEO4+ENRO6"
"3292","3.1","1","436","37.7","166","26-06-25","PD","NEO4+ENRO6"
"3307","3.0","1","433","29.7","109","3-05-25","AD","NEO4+ENRO6"
"3314","3.0","1","381","30.4","99","14-06-25","PI","BIO4+ENRO6"
"3323","3.0","1","417","28.8","9","8-02-25","PI","NEO4+ENRO6"
"3323","3.0","1","417","28.8","39","10-03-25","PI","BIO4+ENRO6"
"3323","3.0","1","417","28.8","49","20-03-25","PI","MEL3+ANTIMAS6"
"3402","2.5","1","233","26.9","9","11-08-25","PI","NEO3+ENRO7"
